sample_id,x,y,z,wind_x,wind_y,wind_z
0,5.1062757,1.1183016,0.025,-1.44822,-1.66641,-5.0402298e-17
1,0.26917294,0.57061121,0.025,-0.24139,0.66176701,-3.3628500000000005e-16
2,3.7208102,1.782229,0.025,-0.108809,0.65430498,-8.7885902e-17
3,6.3190581,1.2922999,0.025,-0.00321774,-0.177899,-8.048170200000001e-17
4,6.2483194,4.1366027,0.025,0.91903901,-1.3874,5.6570902e-17
5,9.1563638,4.2009063,0.025,-1.51679,-1.16151,2.43402e-17
6,1.5853246,4.6636507,0.025,0.217308,2.3270299,-3.8071299e-17
7,2.7448099,5.7199273,0.025,4.0245399,0.34833601,1.15191e-17
8,4.962759,0.3713656,0.025,-2.4091699,-3.01191,9.346629699999999e-18
9,5.8712716,4.0630399,0.025,1.4865201,-2.6429701,1.5679601e-17
10,9.4896847,0.87255434,0.025,-0.19122399,-0.36136201,1.7091199e-17
11,4.9213786,3.5811954,0.025,1.02031,-0.44806001,-1.3564000000000002e-16
12,4.8344044,3.1328697,0.025,0.54404902,-0.44043699,-9.89166e-17
13,8.392216,0.73960322,0.025,-1.32212,-0.93176502,3.9323601000000003e-17
14,3.2732548,2.044995,0.025,0.0165042,1.4224,2.7015701e-17
15,0.65856064,5.6555397,0.025,-0.252951,0.026543999,-1.0013e-17
16,9.6815125,1.6110294,0.025,-0.0473199,-0.407098,-7.509770300000001e-17
17,5.803181,2.9529324,0.025,0.051158,-2.08584,-9.0672404e-18
18,9.0250695,2.0226106,0.025,-0.265311,-2.1598301,3.6788001e-17
19,9.8819901,3.8577924,0.025,-0.234226,0.359211,-1.51367e-16
20,4.1642311,0.98905846,0.025,-0.59291399,-0.31369001,1.7924301e-17
21,5.1375942,3.7634303,0.025,0.88234502,-0.44418699,-1.68384e-16
22,4.7621198,1.2612331,0.025,-0.83091497,-1.05323,-4.7501498e-17
23,9.9849669,3.0243291,0.025,-0.0056136898,0.59623098,2.4120899e-16
24,9.153848,2.5104752,0.025,0.25376099,-2.1521699,-2.29124e-17
25,6.3759692,2.113598,0.025,-0.26221499,-2.0404699,6.7665002e-17
26,8.7229996,3.5618945,0.025,-0.0127779,-1.7006201,2.7780498999999996e-18
27,9.9691159,3.2877895,0.025,0.029273801,0.900419,1.35121e-16
28,1.2963022,0.028150371,0.025,-1.15201,-0.0349847,-1.9414200000000002e-16
29,1.807459,1.1853154,0.025,0.31715199,-0.51341897,2.6990400999999998e-18
30,3.992893,1.6898141,0.025,-0.21042299,0.229873,9.1221101e-17
31,9.7216845,2.9347483,0.025,0.19338199,0.010794,1.8507801e-17
32,3.8906349,1.5376945,0.025,-0.23093501,0.338956,1.7793500999999997e-18
33,8.4726063,1.1032538,0.025,-1.3524801,-1.40792,2.6816400000000002e-17
34,0.65837942,2.9345753,0.025,0.100208,0.206816,1.4245199999999999e-18
35,9.7453623,2.1477871,0.025,0.079029597,-0.302955,-2.3877e-17
36,1.3096909,2.6603457,0.025,0.50948298,1.87953,-4.0439001e-17
37,9.1762492,1.1158777,0.025,-0.444893,-0.92267102,-1.89737e-17
38,3.0313799,2.567214,0.025,0.022734201,1.34093,1.32095e-16
39,3.5179124,3.601357,0.025,0.90285897,0.80001801,-2.8828801e-16
40,0.67506097,3.4952211,0.025,-0.034160901,0.146221,-4.1230301e-18
41,7.5605446,0.74831223,0.025,-1.98575,-0.458134,-5.4461499e-17
42,3.9663944,3.4616393,0.025,0.90003198,0.39323401,3.2094399e-17
43,1.3532336,3.4847024,0.025,0.053875599,1.9831001,6.9108400999999996e-18
44,4.9966433,1.2521016,0.025,-1.05152,-1.36944,9.775739599999998e-18
45,0.23937542,3.366,0.025,-0.0199294,-0.58421803,-9.0860801e-17
46,4.7848748,4.4624738,0.025,0.076471798,0.20894299,-1.8386801e-17
47,0.79617862,5.3779395,0.025,-0.071660899,0.216758,-8.8141698e-19
48,5.6641928,0.65933424,0.025,-1.9820499,-1.19043,-3.2590499e-17
49,7.2034682,0.42265486,0.025,-2.09829,-0.194346,-3.3350801e-17
50,6.4282619,2.7406374,0.025,-0.0243522,-2.16802,5.14678e-17
51,6.0805529,0.64721973,0.025,-1.92961,-0.519445,3.3411100999999997e-18
52,0.87810227,0.69173129,0.025,0.100182,0.28359699,-1.67559e-17
53,4.8542872,5.5939384,0.025,1.85359,-1.08832,1.4672700000000002e-16
54,4.0661956,2.8546363,0.025,0.402284,0.30581999,-9.092560399999999e-18
55,6.3399814,0.69632868,0.025,-1.82586,-0.259215,-4.5263101e-17
56,4.1243949,2.9252578,0.025,0.45556,0.24339101,-1.09526e-17
57,5.6485675,3.931331,0.025,0.98936802,-1.85281,-2.43975e-17
58,5.2651181,5.5706623,0.025,-0.056747999,-0.105846,5.18155e-17
59,4.4963295,3.9620843,0.025,1.02864,0.0253869,-1.9853900000000002e-16
60,4.8044874,0.86362886,0.025,-1.44254,-1.64545,5.96965e-18
61,1.2039108,2.6427118,0.025,0.54975498,1.72153,1.32637e-17
62,2.5796342,5.7096928,0.025,3.80738,0.558375,-5.7450397999999995e-18
63,1.870501,5.6452869,0.025,1.7018501,1.1358401,2.5919101e-18
64,0.90100733,3.1133559,0.025,0.102255,0.83981597,1.8892200000000002e-17
65,1.0067142,5.4719156,0.025,-0.0097978096,0.41918501,-1.16552e-17
66,5.2207407,3.5298095,0.025,0.903759,-0.69628102,2.0045801e-17
67,0.82504614,1.4064774,0.025,1.8816,0.740345,1.46982e-17
68,6.0759616,3.0457749,0.025,0.082882598,-2.9423001,1.70575e-17
69,4.0892422,3.7852026,0.025,1.26112,0.213146,1.16497e-17
70,1.2840904,1.810726,0.025,1.32224,1.16582,1.6817500000000002e-17
71,1.4675965,3.6195537,0.025,0.037996098,2.1817601,-6.0313002e-18
72,3.8114123,5.2499089,0.025,0.38647199,-0.35675499,-5.0084599e-18
73,5.3528385,0.75774271,0.025,-2.3738799,-2.10358,-4.179169999999999e-18
74,9.2250271,0.8457128,0.025,-0.380099,-0.61774403,-3.25864e-17
75,9.9611861,3.1069556,0.025,0.056313001,0.78257298,3.4593101000000005e-16
76,6.8330156,4.2763141,0.025,0.119091,0.92231399,3.9345699000000004e-17
77,4.2056257,0.72212633,0.025,-0.72817099,-0.55632401,1.9304601e-17
78,3.0210493,5.5817772,0.025,3.9714701,0.0679873,-5.831579899999999e-18
79,7.1058256,0.1317571,0.025,-2.1509199,-0.056554299,-1.39041e-17
80,4.9104114,3.9773874,0.025,-0.091248401,0.062232401,5.072490200000001e-16
81,1.1133855,1.145976,0.025,1.28557,0.40294299,2.3002100000000002e-17
82,6.4061386,1.9152348,0.025,-0.27090299,-1.27671,4.0885198e-17
83,5.4774913,5.4518617,0.025,0.042092498,-0.55952299,1.0545700000000001e-16
84,5.244672,0.56782746,0.025,-2.5357699,-2.23772,-6.90827e-18
85,6.5355078,5.4512861,0.025,-0.37851,0.43239301,-5.2714301e-17
86,5.1229464,3.9307133,0.025,-0.048278201,-0.169779,3.5410401e-17
87,9.46232,3.7501423,0.025,-0.756917,-1.0443,-2.4808699999999996e-18
88,8.4358336,3.4524468,0.025,0.320719,-1.30474,5.40818e-17
89,6.764696,0.80217962,0.025,-1.76836,-0.082776502,-1.85041e-17
90,7.9693262,1.0758314,0.025,-1.63404,-0.883394,-1.5262299999999998e-18
91,5.4307386,1.1705486,0.025,-1.70902,-1.97887,-1.8694500000000002e-17
92,2.3809971,5.3429519,0.025,1.04424,0.50530797,8.4142499e-17
93,5.9328908,5.0713471,0.025,0.29988,-0.64731997,5.289180199999999e-18
94,1.1485843,3.4218028,0.025,0.044622298,1.51072,1.36314e-17
95,5.7562109,4.2585643,0.025,1.6547199,-2.65223,1.47491e-17
96,5.7054874,4.6895609,0.025,1.5950201,-2.1751299,-7.38665e-19
97,1.5368717,0.22294935,0.025,-0.79593199,-0.29051301,2.5156799000000003e-16
98,9.1221613,0.60022666,0.025,-0.39389399,-0.49094701,-1.05694e-17
99,9.8784917,4.888698,0.025,-2.0231099,-0.21252,4.3287201e-18
100,5.8666938,2.3588057,0.025,-0.38722,-2.36236,3.2066199e-17
101,0.94388097,3.5667485,0.025,-0.0161027,0.88253301,1.9234899999999997e-18
102,8.3548918,4.9748192,0.025,-0.32911399,0.51128101,-3.2601699000000003e-17
103,8.7733529,3.1042825,0.025,0.89073801,-2.2882299,7.801669799999999e-18
104,9.5742795,4.7263405,0.025,-1.9912601,-0.56451702,-6.3787900999999994e-18
105,8.916763,1.5749324,0.025,-0.68714601,-1.82991,1.9907e-17
106,3.4290612,2.6057747,0.025,0.196483,1.11207,3.49252e-17
107,5.5902141,4.8889932,0.025,1.52177,-1.92766,-7.3850698e-17
108,8.6157011,3.127001,0.025,1.25524,-1.93784,-7.9811402e-17
109,3.9815001,5.8934231,0.025,3.05721,-0.443643,-7.0261502e-17
110,2.6944822,5.3928,0.025,1.20026,0.270118,3.6902701e-17
111,3.8574342,3.1010971,0.025,0.58316898,0.53199202,1.50166e-17
112,1.5532839,0.83123775,0.025,0.18284599,-0.458525,7.8939202e-17
113,2.102343,5.2031488,0.025,1.39045,1.63021,-7.4477903e-18
114,9.9200961,5.3888984,0.025,0.099364899,-0.289709,-9.30428e-16
115,7.6375661,0.66209201,0.025,-1.9718601,-0.48243701,-1.15626e-17
116,3.494287,5.3879561,0.025,1.6031899,-0.294319,-8.002629999999999e-18
117,3.470279,0.57127728,0.025,-0.486606,0.54855001,5.5562198e-17
118,1.5953074,5.7855904,0.025,0.73156399,0.52527601,-6.3677601e-17
119,0.17318339,4.13121,0.025,-0.0228881,-0.584171,-1.4057999e-16
120,9.3328298,4.8965216,0.025,-1.52771,-0.54762298,-2.29561e-17
121,1.1637458,2.5004509,0.025,0.720514,1.64607,-2.08709e-17
122,8.9302501,2.6790482,0.025,0.45035899,-2.6642399,-4.86431e-17
123,6.0968294,0.53571956,0.025,-2.2070501,-0.47732699,-4.7446402e-17
124,5.824625,5.734773,0.025,-0.71164,-0.320353,-1.78571e-16
125,5.1087912,1.048883,0.025,-1.59453,-1.77579,-8.1414300999999995e-19
126,0.68324644,1.1437875,0.025,1.7080899,0.52695298,-3.7489701e-17
127,7.6624138,1.8690304,0.025,0.50988901,-0.049125399,1.5003000000000002e-16
128,7.5774622,0.47770618,0.025,-1.94372,-0.35134199,3.2363301e-18
129,0.76708936,2.1849509,0.025,1.2151901,1.05834,-6.5465198e-17
130,3.3746458,2.9501369,0.025,0.39707801,1.0978,-1.1217e-17
131,9.3317932,0.052349912,0.025,0.150416,-0.025363499,1.76471e-16
132,4.0345086,0.56826995,0.025,-0.70193899,-0.28687701,-2.4378799e-17
