sample_id,x,y,z,wind_x,wind_y,wind_z
0,4.4307899,3.7605904,0.025,1.29255,-0.023623999,-1.1377100000000001e-16
1,9.7932584,5.2701899,0.025,0.094665103,-0.59882402,-1.59069e-19
2,0.19915061,0.88276938,0.025,0.100537,0.35277301,1.7712099000000003e-16
3,0.84173665,2.6357825,0.025,0.424292,0.90383601,4.9344599e-17
4,4.7091684,0.30383242,0.025,-1.47463,-3.0371301,-2.45499e-18
5,5.1316494,5.1272931,0.025,2.4286201,-2.2880199,3.0382202e-17
6,1.2479462,0.31699792,0.025,-0.74192798,-0.066139698,-3.2886501e-18
7,5.6070328,3.5099145,0.025,0.66325903,-1.15829,3.7976199e-17
8,3.8999737,2.2805229,0.025,0.067155302,0.48261401,6.521829899999999e-18
9,0.45667566,4.3777924,0.025,-0.041347601,-0.19716799,4.7271701e-17
10,4.8339898,4.0105233,0.025,-0.13617299,0.110422,3.2046499e-16
11,0.52620506,5.4832529,0.025,-0.154191,-0.092592001,-5.6423498e-17
12,7.3295066,0.1228949,0.025,-2.0007999,-0.074816801,2.14066e-17
13,9.326478,3.7879442,0.025,-0.89726698,-1.33815,2.0676299e-17
14,1.9427022,4.4710595,0.025,0.039519899,2.83742,2.7767901e-17
15,9.8518674,5.6013999,0.025,0.190605,-0.22449499,1.8175000000000002e-16
16,9.3484093,3.8629061,0.025,-1.09934,-1.27068,-3.5200999e-17
17,3.7864595,0.35155583,0.025,-0.82657301,0.0282881,5.05894e-17
18,4.7982866,3.6379427,0.025,1.09404,-0.34057301,-7.4639398e-17
19,4.7718827,4.219006,0.025,-0.30312401,0.31145799,3.7120901e-17
20,5.3575419,5.5983034,0.025,-0.285519,-0.24832401,3.6083601000000004e-16
21,1.3981081,2.1237572,0.025,0.94588202,1.54826,-5.15161e-17
22,5.5358965,2.3433175,0.025,-0.34864801,-1.4752899,-1.0608600000000001e-16
23,5.1982781,1.8861657,0.025,-0.53959298,-1.20081,1.7448e-17
24,6.2754625,4.9838877,0.025,0.075883701,-0.122357,-6.04243e-17
