sample_id,x,y,z,wind_x,wind_y,wind_z
0,7.7346473,1.396678,0.025,-0.18746001,-0.209727,4.6680102000000004e-17
1,5.8155133,4.90816,0.025,0.75681502,-1.13464,-4.34788e-17
2,9.8143145,0.67490891,0.025,-0.036935199,0.057259701,1.5092299000000002e-16
3,3.2555566,2.5177152,0.025,0.118091,1.40672,7.5895502e-17
4,8.3124488,0.66436099,0.025,-1.37352,-0.82565802,1.5095000999999999e-19
5,6.7161617,1.639906,0.025,0.33351499,0.40975499,-3.7666099e-17
6,7.0246582,1.2567794,0.025,-0.332369,0.065578103,3.8491e-17
7,4.963653,1.8459676,0.025,-0.47842699,-0.97745901,2.0968501000000002e-17
8,4.8060912,0.21805903,0.025,-1.9276,-3.68573,8.57916e-18
9,0.88425411,1.5444471,0.025,1.83169,0.84776402,5.5657701e-17
10,5.4985301,3.3720537,0.025,0.62932599,-0.95722997,1.80349e-17
11,0.41669044,1.0139267,0.025,1.40834,0.34431899,-5.7688297e-17
12,8.1558698,0.73699295,0.025,-1.5968601,-0.852979,3.0676099e-17
13,0.56255015,3.8295487,0.025,-0.061940402,-0.072631396,-1.9766099e-17
14,6.6111825,3.5509857,0.025,0.29251,-0.58435601,1.74964e-17
15,3.8010655,0.76358653,0.025,-0.52667201,0.13971201,-3.6273501e-17
16,6.9844785,4.2900001,0.025,0.018130699,0.875144,-4.3958102e-17
17,6.4541281,3.9772002,0.025,0.58304,-0.80483001,7.2200102e-17
18,8.8020334,4.7710096,0.025,-1.19881,-0.42871201,2.6914599e-17
19,5.6928083,0.14697977,0.025,-3.4823301,-0.555255,-3.9561901e-17
20,6.0908499,3.9288019,0.025,1.2185,-2.4287,4.6687599e-17
21,2.3177527,5.7095453,0.025,3.1500199,0.819013,2.7348599e-17
22,9.4059779,2.5816906,0.025,0.288793,-1.30572,4.9097299000000003e-17
23,5.4533729,1.3513088,0.025,-1.34483,-1.85694,-4.77227e-17
24,9.4701138,3.2429348,0.025,0.15674201,-0.79915798,2.2506200999999997e-18
25,4.5751712,2.5384874,0.025,0.115995,-0.306191,-5.3837801e-17
26,4.7610791,3.3651765,0.025,0.79737097,-0.332955,-6.6474702e-17
27,4.1414423,0.57365876,0.025,-0.73159099,-0.499605,5.6061398e-17
28,1.3532336,3.4847024,0.025,0.053875599,1.9831001,6.9108400999999996e-18
29,8.3607654,5.1127702,0.025,-0.168005,0.59707803,-9.8141903e-17
30,9.9817473,5.3791411,0.025,0.038820699,-0.102778,-2.4803901e-15
31,9.8853302,2.3624766,0.025,0.0595138,0.0483546,-2.2285999e-18
32,4.4733823,1.9718455,0.025,-0.22451,-0.33157,-5.04819e-17
33,4.2109421,0.4989495,0.025,-0.76553798,-0.68106902,9.3735399e-17
34,5.1467754,2.6627706,0.025,0.040504798,-0.86281002,-2.9458000999999998e-18
35,0.74775683,1.8989809,0.025,1.70292,0.96825898,-6.2004999999999995e-18
36,9.1430957,3.2960865,0.025,0.189564,-1.77723,1.6640200000000002e-17
37,9.4390666,1.3297165,0.025,-0.204575,-0.71378899,2.63877e-17
38,3.6755032,1.5368673,0.025,-0.161936,0.65813899,-4.95062e-17
39,9.942934,1.5907475,0.025,-0.0188209,-0.0078882603,4.71338e-16
40,7.274484,0.57603338,0.025,-2.0834799,-0.26178601,-8.574029799999999e-18
41,5.7279216,4.9267632,0.025,0.94548601,-1.32708,8.0433501e-17
42,4.6841913,3.3124825,0.025,0.74608201,-0.27429199,-2.9605499e-17
43,4.5270656,0.48843854,0.025,-1.08416,-1.7248,1.9331701e-17
44,0.66155353,4.5126244,0.025,-0.043149699,0.120841,-2.61908e-17
45,5.0939053,1.8601939,0.025,-0.51972598,-1.11076,7.6888099e-17
46,5.9968736,2.9358445,0.025,-0.00576036,-2.8102801,2.8163501e-17
47,0.99080541,2.1674643,0.025,1.22841,1.33867,8.235669899999999e-18
48,0.45992678,1.5168048,0.025,1.99483,0.53065699,1.41736e-18
49,6.9682101,4.443412,0.025,0.0021286199,1.38298,-1.8178e-17
50,4.2727246,2.9361036,0.025,0.45785099,0.083691403,9.160339700000001e-17
51,1.8423372,3.245286,0.025,0.0526204,2.57181,3.7706800000000003e-17
52,5.1312941,2.6083763,0.025,0.00174953,-0.87008101,-5.34454e-17
53,1.9880688,1.6964285,0.025,0.027966101,0.25129101,3.3492199e-16
54,6.65925,4.6487371,0.025,0.090487801,0.63481498,3.1754501e-17
55,8.4002603,3.1129798,0.025,1.2441,-0.75891799,1.0062600000000001e-16
56,8.677721,0.89822735,0.025,-1.02538,-1.1084501,6.393439799999999e-18
57,1.2003399,0.73712603,0.025,0.12542,0.025566701,9.648549799999999e-18
58,2.5673954,5.7623936,0.025,3.67047,0.455217,-5.760580099999999e-18
59,5.0408599,4.9912153,0.025,2.2374799,-2.1387501,-2.07837e-17
60,4.2740721,2.9076115,0.025,0.43606201,0.080563799,6.3555297e-17
61,9.1424421,0.74404717,0.025,-0.426388,-0.59729701,1.3942401000000002e-17
62,3.4901474,1.4284523,0.025,-0.136347,0.94144899,-4.8720501e-17
63,9.9286477,5.2615449,0.025,0.089304604,-0.404093,-4.922690300000001e-16
