sample_id,x,y,z,wind_x,wind_y,wind_z
0,8.6643594,4.5884329,0.025,-1.177,-0.528234,5.6232201e-17
1,9.6645234,5.6043667,0.025,0.45570701,-0.651878,1.1503599e-16
2,6.453036,3.503012,0.025,0.37892199,-1.44786,-3.3845699e-17
3,0.21213364,0.56013646,0.025,-0.226209,0.60024399,4.7406798e-16
4,1.4997335,3.1024386,0.025,0.176034,2.2088599,-1.66302e-17
5,5.3858256,4.6743315,0.025,1.93724,-2.54882,9.561179699999999e-18
6,5.2898599,3.149691,0.025,0.45134699,-0.84438998,-3.25079e-17
7,1.7358358,0.41179556,0.025,-0.36189401,-0.66839802,-1.3471400000000002e-16
8,3.0134725,3.1335984,0.025,0.038869701,0.10425,5.5479102e-16
9,9.635458,3.1110378,0.025,0.192086,-0.184195,9.0121798e-17
10,0.33877299,0.16225871,0.025,-0.156271,0.181804,-7.516420000000001e-16
11,2.9878941,5.9704398,0.025,3.62042,-0.0047066198,-2.55074e-17
12,4.0379302,0.20257615,0.025,-0.94687903,-0.226834,-3.75284e-17
13,6.0881748,5.9449808,0.025,-1.03326,-0.034288,-3.7963401000000004e-17
14,6.162645,0.35699724,0.025,-2.4393499,-0.33801201,-8.124119599999999e-18
15,9.3477789,3.7315134,0.025,-0.73893398,-1.28626,-2.41809e-17
16,1.1366632,1.7745604,0.025,1.505,1.11058,-1.31498e-17
17,5.3115075,2.8608488,0.025,0.158169,-0.95252597,4.0169599999999997e-20
18,9.9862903,3.1883905,0.025,-0.0041225599,0.652017,1.94295e-16
19,0.96877463,1.4394392,0.025,1.77794,0.78393298,1.15865e-17
20,5.627138,3.5522948,0.025,0.67485499,-1.24639,3.2121600999999997e-18
21,9.278931,2.4309282,0.025,0.20929401,-1.76248,-2.8197499e-17
22,3.4998529,5.2128397,0.025,-0.31850901,-0.0649933,-5.9950899e-18
23,0.62894934,5.9196588,0.025,-0.54934698,-0.0259833,-2.7464601e-16
24,0.7370711,0.85691357,0.025,0.577627,0.362239,-2.3127499e-16
25,1.8407204,3.0655581,0.025,0.075676501,2.48524,5.9369499e-17
26,6.014626,0.91149743,0.025,-1.03666,-0.64650202,-6.672530199999999e-18
27,5.9536692,2.0422163,0.025,-0.62376702,-2.56286,-7.5363797e-17
28,6.1992317,5.5323734,0.025,-0.473263,-0.0299656,4.964469999999999e-18
29,9.5804558,5.6807019,0.025,0.57023799,-0.60875303,6.7213897e-17
30,9.1104425,3.9216316,0.025,-1.0527101,-1.43968,-2.3292e-17
31,3.8375973,5.5566094,0.025,3.4418199,-0.76077002,-1.90454e-17
32,6.9526327,1.1229108,0.025,-0.78386402,0.0342337,-4.0515201e-17
33,3.7151901,3.2460043,0.025,0.69158202,0.670928,7.938169800000001e-17
34,6.8053125,5.4003946,0.025,-0.25915,0.95844698,-1.55428e-17
35,9.0227508,4.6728457,0.025,-1.60844,-0.73761398,-1.60796e-17
36,4.9751156,4.6302773,0.025,0.99427003,-1.10936,-4.80252e-17
37,2.4606932,5.1649756,0.025,-0.618213,0.334575,-7.6954803e-17
38,1.0489671,3.7302309,0.025,-0.027311901,1.18747,-1.46927e-17
39,3.397317,0.60247951,0.025,-0.41441101,0.69270498,-4.8032199e-18
40,3.639822,3.1174045,0.025,0.575037,0.75507301,1.0821700000000001e-16
41,9.2509762,0.40916406,0.025,-0.19412699,-0.266922,3.7991698e-18
42,0.94260558,0.25144369,0.025,-0.82889903,0.138772,1.1384000000000002e-16
43,3.2800516,5.5045097,0.025,2.9825301,-0.17471801,-1.3432e-17
44,6.7298136,4.7068203,0.025,0.046433799,0.84266597,4.43728e-17
45,0.96237526,4.3798909,0.025,-0.029583599,0.82847798,-1.90064e-17
46,1.7139457,3.3133403,0.025,0.074740402,2.4579201,-8.2088802e-17
47,6.78816,4.7922956,0.025,0.020411,1.00481,9.6440101e-17
48,6.8295138,1.8101259,0.025,0.33680901,0.249303,3.4359600000000003e-17
49,0.98474355,1.6217754,0.025,1.72711,0.94004101,2.5198501e-17
50,3.2148298,3.4462853,0.025,0.28257099,0.347657,1.7115800000000002e-16
51,8.4563701,0.065334974,0.025,-0.76115501,-0.068495899,2.47531e-17
52,4.830461,3.2196767,0.025,0.62842399,-0.41662601,3.6653199999999995e-18
53,1.4880067,1.5217506,0.025,1.1023901,0.61875403,-7.7726999e-17
54,0.68211055,0.648387,0.025,0.014339,0.396164,3.4657499e-16
55,6.9861706,5.315461,0.025,-0.0127551,0.60670203,-3.3871201e-16
56,5.8666938,2.3588057,0.025,-0.38722,-2.36236,3.2066199e-17
57,8.1520971,0.03665542,0.025,-1.0168101,-0.024606699,1.12094e-16
58,9.8624411,0.80211059,0.025,-0.033676598,0.080895402,-2.0985400000000002e-16
59,1.0800435,5.1559306,0.025,0.122497,0.77172101,-4.6356901e-18
60,8.2528973,3.4405434,0.025,0.27046499,-1.05284,4.27492e-17
61,0.054527642,3.0038025,0.025,0.0104518,-0.89256197,-6.49827e-17
62,5.6553898,5.7635306,0.025,-0.68453002,-0.435148,-4.52718e-17
63,9.8053382,4.5179691,0.025,-1.99388,-0.29383999,-2.04248e-17
64,4.3506986,1.7112913,0.025,-0.319085,-0.254186,1.30307e-17
65,4.3036121,2.9485912,0.025,0.462989,0.053594202,-6.7252702e-17
66,4.9912658,2.5389088,0.025,0.000836141,-0.76281798,-4.9559001e-17
67,4.6569274,5.7403252,0.025,1.48325,-0.71099401,1.375e-17
68,1.2535693,2.088819,0.025,1.12072,1.46672,6.335920199999999e-18
69,5.6274504,1.9862174,0.025,-0.62105799,-1.77131,-1.04495e-17
70,9.2724577,5.7160455,0.025,0.69030601,-0.315548,-1.8217e-16
71,5.4833096,2.1678678,0.025,-0.44668299,-1.44532,-1.75208e-18
72,8.9390685,1.1394375,0.025,-0.73266602,-1.24068,-2.28644e-17
73,0.21563553,5.6712653,0.025,-0.174493,-0.32585299,1.7937301e-17
74,4.4905564,0.14336815,0.025,0.066957302,-2.07495,1.8479499e-17
75,1.3061152,2.6099566,0.025,0.56048,1.85405,1.53375e-17
76,3.5275083,0.11375601,0.025,-1.07819,0.179965,-3.25819e-17
77,5.4414074,1.8254278,0.025,-0.68140602,-1.50244,-2.4562299e-17
78,0.074042553,3.8297285,0.025,-0.0131424,-0.81783599,1.5769200000000001e-16
79,1.5851386,1.9897822,0.025,0.78122699,1.33392,1.43601e-17
80,6.7266353,5.0379012,0.025,-0.055089001,0.84780902,8.9108098e-17
81,8.6617664,2.4697913,0.025,-0.141638,-2.006,5.1411699e-18
82,1.8508561,1.0242455,0.025,0.18387701,-0.797732,-1.2512800000000001e-16
83,5.3960187,1.2297973,0.025,-1.53635,-1.88024,-2.17788e-17
84,0.211041,5.6151181,0.025,-0.149524,-0.35498199,-1.4216e-16
85,1.4883092,3.8518328,0.025,0.0205127,2.2014501,-2.9872599e-17
86,8.5856641,2.3355068,0.025,-0.20874,-0.68712002,-1.50548e-17
87,3.0814487,2.8401672,0.025,0.153892,1.3861001,8.67327e-17
88,6.1781184,5.2671196,0.025,-0.115043,-0.143172,1.2552900000000002e-16
89,1.290951,2.0516873,0.025,1.11874,1.44183,1.28458e-17
90,8.3124488,0.66436099,0.025,-1.37352,-0.82565802,1.5095000999999999e-19
91,4.4933871,0.080912335,0.025,0.71385503,-1.99368,2.51437e-17
92,1.4001988,4.5715143,0.025,0.13894001,1.9410501,-2.14551e-17
93,6.886896,4.5233476,0.025,0.0455417,1.23913,6.4574499999999995e-18
94,0.50620886,2.8454968,0.025,0.094177902,-0.127085,-3.6913600000000004e-17
95,6.0112678,5.440968,0.025,-0.26584101,-0.262198,1.5032599e-16
