sample_id,x,y,z,wind_x,wind_y,wind_z
0,5.3965573,1.4706539,0.025,0.0784944,0.37890801,1.2511199999999999e-18
1,3.825,1.3493702,0.025,0.79623598,0.232162,-1.2139399999999999e-18
2,7.0721688,0.52499997,0.025,-0.92767602,0.0058396598,7.0561899e-21
3,8.25,3.894893,0.025,-0.38158101,0.13505299,-1.12644e-17
4,8.8763885,5.6999999,0.025,0.645702,0.047831099,-4.612780099999999e-18
5,4.45,1.5370091,0.025,0.59844398,0.33942199,-2.5553001e-18
6,1.2249947,3.9185759,0.025,0.57758498,-0.92033702,-2.1375399999999997e-18
7,5.0250001,4.8134718,0.025,0.346688,0.59534299,3.4508699e-18
8,4.8523439,1.2100141,0.025,0.41100699,0.216888,-3.8861999999999996e-19
9,4.375,5.4774248,0.025,-0.041910499,0.42611,1.13708e-20
10,4.4250001,0.39674229,0.025,0.52255201,0.022600399,-4.2651401e-18
11,8.0499999,2.6247223,0.025,1.0645,-0.60769397,-3.9616798e-18
12,5.0,2.11547,0.025,0.52530301,0.642663,2.46272e-18
13,0.425,4.5536642,0.025,1.9794199,0.031736899,3.3791999999999996e-19
14,7.0721688,0.57499998,0.025,-0.89646798,0.0426015,1.8751701e-18
15,1.4,1.0462613,0.025,1.6420701,-0.39533201,-8.341740099999999e-19
16,7.4041451,1.55,0.025,0.0792538,0.0795651,-3.7658599e-19
17,8.1547003,1.25,0.025,-0.24143501,-0.37282699,-4.9132998e-18
18,3.275,2.840118,0.025,0.591043,0.59223002,-4.1611799999999996e-18
19,0.35253824,0.055755564,0.025,-0.66396898,0.123216,-2.3481199e-17
20,5.45,5.4629911,0.025,0.51048899,0.291834,-3.6627697999999994e-18
21,7.3499999,2.9711325,0.025,0.403119,-0.0509522,9.816049799999999e-18
22,0.39999998,0.78645373,0.025,0.42646301,0.21983901,5.1374400999999995e-18
23,6.3774161,2.6993859,0.025,1.23167,-0.0131305,1.8503698999999998e-18
24,0.34999998,3.0958549,0.025,-0.21037801,0.42237699,1.03022e-19
25,2.1750001,2.840118,0.025,0.29860801,0.088389903,8.089940099999999e-19
26,6.4513857,2.9728796,0.025,0.96700799,-0.00300534,-7.374899999999999e-18
27,3.5806433,2.1029035,0.025,0.85428101,0.489719,-4.34473e-19
28,2.65,1.363804,0.025,1.32309,0.072736204,-5.6378599000000006e-21
29,1.6020281,4.5260485,0.025,-0.262564,0.109432,6.5486598999999995e-18
30,8.1547003,0.50000002,0.025,-0.949619,-0.242204,2.5770899e-20
31,9.439305,0.57500003,0.025,-0.181789,-0.15302099,-3.6898301999999995e-18
32,0.052270065,1.4866965,0.025,2.00056,-0.0038761401,1.55096e-18
33,8.9629907,2.65,0.025,0.62050003,-0.055955399,7.2048097e-20
34,0.47499997,4.4670618,0.025,1.955,0.0144883,-1.7257499999999998e-18
35,1.175,0.010543657,0.025,-0.69407803,-0.0059732599,8.0413602e-18
36,5.1499928,1.9711284,0.025,0.41695201,0.67867398,-7.290999899999999e-18
37,3.775,2.4071053,0.025,0.74204898,0.55418801,-1.24338e-20
38,3.2249569,4.4670804,0.025,0.161532,-0.173228,6.4779400999999994e-18
39,2.4755177,2.2702121,0.025,1.12472,0.439904,-1.2172099999999999e-18
40,4.5,4.3844411,0.025,0.39124399,0.72248399,-1.28332e-17
41,8.833087,4.7750001,0.025,0.59353399,0.092825197,6.7488300999999995e-18
42,3.0499074,5.9721806,0.025,1.71918,0.41632199,1.7748599e-18
43,1.95,5.4341235,0.025,1.03646,0.586115,-2.05189e-19
44,2.5,2.9988894,0.025,0.097198799,0.48017099,2.13734e-20
45,3.725,5.7372324,0.025,0.52325898,0.83776301,-2.84101e-20
46,4.6425591,0.052065906,0.025,0.45235899,-0.00165381,-5.8641699e-17
47,3.45,1.2194664,0.025,0.90688002,0.149314,2.0724601e-18
48,7.1247007,5.8522108,0.025,1.62868,0.26967901,4.3289399e-19
49,9.8867512,2.0000001,0.025,0.114095,-0.16433901,-1.1589599999999999e-20
50,7.1877224,0.17501812,0.025,-1.11474,-0.076875001,4.4255102e-18
51,8.8908224,5.2750001,0.025,0.75770402,0.111983,4.137099999999999e-18
52,6.158779,2.7250135,0.025,1.2262,0.088581003,4.7575099e-18
53,5.2500572,4.1350835,0.025,0.44978899,0.741458,5.6075699e-18
54,3.875,2.6957805,0.025,0.66911,0.58481598,3.1142401e-21
55,4.7990435,3.0095895,0.025,0.57954901,0.61317098,-1.1715999999999998e-18
56,7.5755188,5.1805418,0.025,0.83573699,0.0283402,9.859370399999999e-19
57,1.025,5.3330873,0.025,0.72694802,0.47549599,2.75978e-18
58,5.4733093,0.75043316,0.025,0.0296304,-0.225913,-1.00031e-17
59,0.07158306,0.52874482,0.025,-0.036768202,0.73222601,-4.5061e-19
60,2.575,0.88749003,0.025,1.02948,-0.16398001,4.374339899999999e-18
61,1.65,1.6524792,0.025,1.78043,-0.182601,-9.446730399999999e-19
62,6.5879596,1.525,0.025,0.0094604101,1.02634,1.0306399999999999e-18
63,0.39999998,1.7102142,0.025,1.9853899,-0.0404232,-1.8529601e-18
64,4.2992215,3.8653642,0.025,0.53616101,0.64165801,-3.0469900999999996e-18
65,4.3860583,4.9033629,0.025,0.111542,0.64066899,1.03061e-17
66,1.3749998,4.9578096,0.025,1.56031,0.759013,1.2055599999999998e-18
67,6.7690598,4.45,0.025,0.27969599,0.25343499,2.3385399e-19
68,0.87499998,4.7268694,0.025,1.79355,0.31055599,1.2766599999999998e-18
69,3.775,3.1287931,0.025,0.57312602,0.565925,5.978659999999999e-18
70,4.375,5.0732989,0.025,0.040869098,0.57485998,-4.9318899e-18
71,0.12274766,1.8684006,0.025,1.99761,-0.0185799,-7.884129799999999e-19
72,5.0574959,1.7089107,0.025,0.35952401,0.50354803,9.843019999999999e-18
73,8.4578094,0.425,0.025,-0.76204997,-0.249245,-1.6157301e-17
74,4.7,2.9235762,0.025,0.59163499,0.609716,4.1110598999999995e-18
75,7.2309402,3.8,0.025,-0.162562,-0.035854101,1.7674701e-17
76,6.5997377,0.95006859,0.025,-0.113833,0.70137203,-1.92646e-18
77,0.77500002,5.5062922,0.025,-0.0137755,0.0634095,-7.254799700000001e-21
78,5.4281734,1.6272946,0.025,0.065290302,0.51133698,3.5312499e-17
79,9.6269436,4.4000001,0.025,0.072489798,-1.18771,1.88361e-18
80,9.3094012,4.75,0.025,0.41904199,-0.520998,9.0089701e-20
81,5.55,5.1165808,0.025,0.50877899,0.463204,4.0537098e-18
82,0.25000536,1.1905958,0.025,2.03128,0.0084850397,-3.17132e-19
83,4.9500001,0.93079167,0.025,0.37488899,0.072258502,-1.4670799e-17
84,1.3749418,5.8233102,0.025,-0.35019001,0.223083,-2.1199201e-19
85,0.10375929,5.6042704,0.025,-0.115656,-0.71988302,2.02953e-19
86,9.9520633,1.7541191,0.025,0.035662401,-0.36426899,-1.8930300000000002e-17
87,2.725,0.88749003,0.025,0.98786998,-0.117765,2.9106301e-21
88,4.8000001,3.7020726,0.025,0.50200599,0.67082798,-2.4907101e-18
89,3.225,5.0732794,0.025,0.51582199,-0.0104506,9.4353701e-19
90,7.0288674,1.55,0.025,0.057968002,0.51028299,-3.8294398999999996e-19
91,6.7287339,1.8140332,0.025,0.172041,0.78037697,-4.9789101e-18
92,5.8565098,4.1979648,0.025,0.59173399,1.11502,-1.19495e-17
93,0.67499999,1.3205027,0.025,2.03304,-0.135837,6.863039999999999e-19
94,8.1749999,3.0721687,0.025,0.273909,-0.45018801,-5.3394401e-18
95,6.1750016,5.1599146,0.025,0.85632801,0.41310099,-5.541449999999999e-18
96,6.7546261,0.92499999,0.025,-0.30818799,0.55594599,2.3318000000000002e-17
97,6.5991241,1.5,0.025,0.0056552901,1.01696,-4.8710800999999996e-18
98,7.3735293,5.9076176,0.025,1.57427,0.52723998,6.0290201e-19
99,5.5999999,2.1154738,0.025,-0.021097699,0.062272899,6.0945503e-17
100,1.475,5.1310145,0.025,1.38352,0.76695901,7.475719699999999e-19
101,4.5999999,5.4629911,0.025,0.065909497,0.39138299,3.3785199999999996e-18
102,9.15063,2.275,0.025,0.89621902,-0.101326,-7.7685501e-20
103,3.525,0.88749003,0.025,0.78451502,0.059012499,-2.6111901e-21
104,1.3,1.6236116,0.025,1.86015,-0.24188,1.83117e-18
105,7.925,2.8412287,0.025,0.76178098,-0.55504102,-7.5133502e-18
106,7.4065016,3.3495816,0.025,-0.00135951,-0.321946,-1.3606200000000001e-17
107,3.6578048,3.9264272,0.025,0.240661,0.118607,1.5188001e-17
108,3.275,3.139156,0.025,0.42942899,0.494268,6.1001799e-21
109,1.4005079,4.4730762,0.025,0.82326198,0.75972801,-1.14786e-17
110,3.9,1.1039964,0.025,0.73753399,0.15962499,-5.083160099999999e-18
111,2.0,5.4341235,0.025,1.06286,0.57284898,-8.1669201e-19
112,2.775,1.7535155,0.025,1.28346,0.32479399,-6.9902699e-21
113,0.50013566,0.15204494,0.025,-0.70100701,0.14889801,6.2626501e-19
114,3.15,1.0462614,0.025,0.95528698,0.038540602,-2.67557e-21
115,4.125,4.139156,0.025,0.50423503,0.566522,-6.4854301999999995e-18
116,2.5109145,0.05048992,0.025,0.19489001,-0.027395399,-1.9967999e-17
117,5.3773753,0.88730833,0.025,0.106366,-0.061930101,-1.98362e-17
118,3.725,5.7660998,0.025,0.56188601,0.91625601,3.2473799e-20
119,9.0640272,4.125,0.025,-0.118579,-0.292218,3.0183599e-18
120,8.8042195,5.075,0.025,0.73880798,0.16687199,7.764650099999999e-18
121,3.1423,4.2442219,0.025,0.0134926,0.095891103,1.8329600999999997e-18
122,7.05,5.636196,0.025,1.37962,0.17939401,-1.12328e-18
123,7.8,2.5958549,0.025,1.31953,-0.63594502,-4.945909899999999e-19
124,4.2262998,2.7389984,0.025,0.63528597,0.58546501,-1.6786599999999999e-18
125,1.3,5.0877133,0.025,1.43039,0.73297399,-7.372309799999999e-19
126,1.55,1.6236116,0.025,1.8188601,-0.215699,1.8935e-18
127,7.5340489,1.075,0.025,-0.52515399,-0.040083501,3.3139698999999996e-19
128,0.75,5.0877132,0.025,1.39947,0.33720499,8.225059900000001e-21
129,5.5745468,4.2940496,0.025,0.516137,0.83071899,-7.2352198e-18
130,5.5250001,5.7372323,0.025,1.02363,0.109158,-2.4375501e-18
131,8.4873717,2.5243072,0.025,1.01513,-0.493249,-8.5412296e-18
132,1.85,1.2194665,0.025,1.66074,-0.26465699,-2.0521099999999998e-18
133,1.5,0.52664613,0.025,0.31200799,-0.39179301,2.1802199999999996e-18
134,5.9711326,3.45,0.025,0.0279199,0.68421,-2.00714e-17
135,3.625,0.48334482,0.025,0.625624,0.0075625498,-2.2807900999999997e-18
136,5.375,5.217617,0.025,0.40692201,0.41924199,-2.0933999e-20
137,5.0787629,2.7018636,0.025,0.62351102,0.62516397,5.2353502e-18
138,4.125,0.54107987,0.025,0.58034402,0.045854501,-1.5448299e-17
139,2.65,0.18067148,0.025,0.362818,-0.079154901,2.7752500999999996e-18
140,9.9116433,5.8503909,0.025,-0.085908301,0.184993,-3.6163499e-17
141,3.075,2.2153846,0.025,0.975272,0.55227101,-1.2968699999999998e-18
142,8.9196898,0.67499999,0.025,-0.55441898,-0.39031601,-2.5140899e-18
143,3.725,0.48334482,0.025,0.61661297,0.016849499,-9.133999500000001e-22
144,8.2747615,0.014315027,0.025,-0.54117203,-0.0025226499,-1.7328799999999998e-18
145,4.0247611,5.9867649,0.025,-0.506935,0.037955701,8.2543501e-18
146,8.1499996,2.3360476,0.025,1.3795,-0.75048202,-3.1371299999999997e-18
147,2.3,5.3763884,0.025,1.24194,0.50740999,-1.2996299999999998e-18
148,7.4000001,2.9711324,0.025,0.35299799,-0.069572799,-2.9860201e-17
149,9.8434499,0.42500003,0.025,-0.0600687,-0.238151,1.0699400000000001e-16
150,7.6350852,0.34999999,0.025,-1.0644799,-0.085047998,9.340479999999999e-19
151,5.075,5.0732794,0.025,0.30877599,0.49894199,-3.9874501999999996e-18
152,0.028800792,2.9999921,0.025,-0.0316699,0.65242702,-4.3508298e-18
153,5.445855,1.6996594,0.025,0.049031299,0.58510798,1.11637e-17
154,2.075,1.7535154,0.025,1.6209,0.049003098,-9.9755097e-19
155,0.25001043,2.8360419,0.025,-0.296368,0.33503401,-2.9708598999999996e-18
156,5.2500308,3.5995946,0.025,0.44348201,0.66932398,-4.0572502e-18
157,0.67499999,4.8134718,0.025,1.8952399,0.226895,1.1582999999999998e-18
158,3.375,3.8319763,0.025,0.0093057901,0.089207999,-2.5669999e-20
159,1.575,1.4359728,0.025,1.86379,-0.254673,-1.8166199e-18
160,8.8475208,4.8499999,0.025,0.63742399,0.095311299,-7.021180199999999e-18
161,7.425,2.465952,0.025,1.05604,-0.194481,-1.07134e-17
162,7.1010364,4.625,0.025,1.1565,-0.456608,-3.5471999e-19
163,7.3499999,2.8845299,0.025,1.0376101,-0.19538,-6.3566699999999995e-18
164,2.275,2.8689855,0.025,0.26528099,0.276079,1.19789e-20
165,1.925,5.1310145,0.025,1.4161,0.66617501,-1.77453e-19
166,6.1500001,5.6073286,0.025,1.16392,0.14161301,-5.083699799999999e-18
167,3.649308,5.9736656,0.025,1.22408,1.53494,-2.79658e-19
168,3.1549909,3.0982216,0.025,0.39377901,0.50014001,2.2748299e-19
169,0.40000001,1.9700218,0.025,1.53385,0.102918,-2.6388200999999997e-18
170,2.65,3.3556624,0.025,-0.39963201,0.174907,2.78705e-20
171,9.6558113,1.9,0.025,0.309589,-0.26150399,-3.0092999e-17
172,1.45,1.1039964,0.025,1.7031,-0.376919,1.78913e-18
173,5.4016498,0.10432676,0.025,0.77536798,-0.102923,-4.30302e-17
174,8.325292,4.7771654,0.025,0.60794902,0.286596,-1.7963500999999997e-18
175,9.5390768,5.8974528,0.025,-0.0418805,-0.0301675,1.20983e-16
176,2.9250001,0.48334482,0.025,0.638152,-0.102504,3.93863e-18
177,2.4,1.7102142,0.025,1.50214,0.198561,1.9182899e-18
178,1.15,4.9433757,0.025,1.60035,0.63436198,-6.4716e-19
179,9.2372322,5.0250001,0.025,0.60182202,-0.30324501,2.2048300999999996e-18
180,2.0999999,5.6939303,0.025,0.74600798,0.354224,-7.840979999999999e-19
181,1.075,3.7453738,0.025,0.609703,-1.01941,-1.0188099999999999e-18
182,3.1999999,0.95965881,0.025,0.89927399,0.0213887,-2.0009999e-18
183,6.675,2.1587714,0.025,0.26699999,0.48264101,-8.5820898e-18
184,9.0062923,2.125,0.025,1.04598,-0.32845199,8.1739597e-20
185,2.375,3.0133232,0.025,-0.015643699,0.35596099,4.0149198999999997e-19
186,6.7982208,0.14925314,0.025,-0.992037,-0.53892303,-3.6914299999999995e-18
187,6.0762375,4.3000032,0.025,0.90872502,1.17197,5.1894800999999994e-18
188,9.3014243,0.057272726,0.025,-0.33842999,-0.0134536,-3.3648199e-17
189,5.5999999,5.5495934,0.025,0.76536202,0.21416,-8.8172101e-18
190,4.05,3.1720945,0.025,0.58891201,0.592228,1.93683e-18
191,1.725,1.2627677,0.025,1.74455,-0.28086099,9.125660199999999e-19
192,7.3,2.88453,0.025,1.08297,-0.167735,9.6324397e-19
193,7.9000001,2.4515173,0.025,1.36958,-0.69005299,-3.77932e-19
194,3.85,5.7227987,0.025,0.20282,0.72276998,3.3994198999999996e-18
195,3.5,1.8834175,0.025,0.91973102,0.41653401,-3.9850898e-18
196,3.95,2.7390817,0.025,0.65634203,0.58666098,3.6812499e-18
197,7.7249999,2.8412255,0.025,0.72552598,-0.39208499,2.5718899999999996e-18
198,1.725,5.0732794,0.025,1.47383,0.73746997,-1.31026e-18
199,3.125,5.6794972,0.025,1.40307,0.58304101,-2.28807e-21
200,4.125,5.4196898,0.025,-0.090600997,0.48602399,9.4799398e-18
201,8.6165809,2.25,0.025,1.24226,-0.563559,4.7550901e-20
202,4.75,3.6443376,0.025,0.51306701,0.66320902,9.0843804e-18
203,8.0247967,0.27500003,0.025,-0.91430199,-0.121859,-5.592640099999999e-18
204,6.9000001,5.7805335,0.025,1.53228,0.12569,-3.0925399999999996e-18
205,9.6269436,1.65,0.025,0.152124,-0.450039,-5.7812699e-18
206,0.22492445,0.71424136,0.025,0.119898,0.50846303,-2.84417e-18
207,5.2358216,3.1736061,0.025,0.52911597,0.59008402,-8.9844603e-18
208,0.59999998,2.8360473,0.025,-0.468797,0.073711596,-6.9159198e-21
209,6.8435777,2.4008696,0.025,0.55454302,0.0444481,1.04962e-17
210,6.5866594,1.1732502,0.025,-0.056455102,0.917862,-2.8394199e-20
211,6.6399781,0.8254802,0.025,-0.206974,0.50761098,-9.3254101e-18
212,0.97499998,3.139156,0.025,-0.060165498,-0.83039099,-2.00477e-18
213,8.2701709,1.5,0.025,0.122416,-0.443598,-1.1766499999999998e-18
214,8.9774246,3.8249999,0.025,-0.476172,-0.094594903,-6.968819599999999e-18
215,5.3000011,2.4618766,0.025,0.68347198,0.71113503,-9.7428401e-18
216,3.75,5.6073286,0.025,0.32993099,0.526034,-2.8526101e-18
217,7.4081003,2.2296978,0.025,0.862068,-0.075426102,-7.3707102e-19
218,4.5999999,5.1743156,0.025,0.094865397,0.52240199,3.8256201999999994e-18
219,8.1750005,3.5340494,0.025,-0.43682501,-0.141113,8.916059899999999e-18
220,1.75,1.6236117,0.025,1.77895,-0.15109,2.7919200999999997e-18
221,7.8499999,2.7690599,0.025,0.86651301,-0.50031698,6.5898098e-19
222,9.3960038,3.45,0.025,-0.315014,-0.13542201,1.83365e-19
223,9.1073348,5.7500105,0.025,0.66776198,-0.056944799,1.5791401000000002e-17
224,2.1999999,5.1743156,0.025,1.3622299,0.55267602,-1.3096e-18
225,2.15,0.61324865,0.025,0.70332098,-0.32942599,1.00441e-20
226,7.9375423,3.7750632,0.025,-0.29985201,-0.19782101,1.19626e-17
227,1.3747071,4.2064516,0.025,0.39030299,-0.30959499,5.041289899999999e-18
228,0.87499998,2.2731307,0.025,-0.0116968,-0.0186214,1.0186799999999999e-20
229,8.375,2.7257586,0.025,0.85432899,-0.488318,-5.9490901e-20
230,5.3508684,1.7119606,0.025,0.144731,0.57616502,2.9173799999999997e-18
231,4.1999999,1.3926715,0.025,0.674757,0.27197701,5.501639899999999e-18
