solver,num_measurements,config_id,config_label,misfit,pde_err,reg,boundary,mean_rmse,std_rmse,mean_directional_rmse,std_directional_rmse,mean_angular_rmse_deg,std_angular_rmse_deg,count
linear_least_squares,10,1,"m=1e+00, pde=1e-01, reg=1e-06, bc=1e+01",1.0,0.1,1e-06,10.0,0.18322813348036246,0.013300162990897108,1.1457931037553106,0.15882219281045823,88.648460698265,13.450056360268759,3
linear_least_squares,10,2,"m=1e+00, pde=1e-01, reg=1e-06, bc=1e+02",1.0,0.1,1e-06,100.0,0.18300583910686907,0.013342766414838949,1.1410714777607174,0.16248205952474543,88.22601010978245,13.647852656797916,3
linear_least_squares,10,3,"m=1e+00, pde=1e-01, reg=1e-06, bc=1e+03",1.0,0.1,1e-06,1000.0,0.1824323216857484,0.01348984324230439,1.1225974161615573,0.17109588125452047,86.26657506956387,14.524254867010432,3
linear_least_squares,10,4,"m=1e+00, pde=1e-01, reg=1e-04, bc=1e+01",1.0,0.1,0.0001,10.0,0.17865078815733693,0.009204340235838371,0.7696145903636692,0.03260693132454163,52.65060037877038,3.090056219263578,3
linear_least_squares,10,5,"m=1e+00, pde=1e-01, reg=1e-04, bc=1e+02",1.0,0.1,0.0001,100.0,0.17866527009480548,0.009199653323313193,0.7696284719137596,0.03268949613182263,52.66169887783647,3.104147277081951,3
linear_least_squares,10,6,"m=1e+00, pde=1e-01, reg=1e-04, bc=1e+03",1.0,0.1,0.0001,1000.0,0.17870824430237783,0.009177283434062001,0.7710565228151318,0.033952772035013484,52.75173562667104,3.1772596027941677,3
linear_least_squares,10,7,"m=1e+00, pde=1e-01, reg=1e-02, bc=1e+01",1.0,0.1,0.01,10.0,0.18436391780609243,0.005598156779193674,0.6126667272233252,0.03632395471605838,42.93360479118295,1.6619040631100837,3
linear_least_squares,10,8,"m=1e+00, pde=1e-01, reg=1e-02, bc=1e+02",1.0,0.1,0.01,100.0,0.18462779925346348,0.005496374606650577,0.6122481506526034,0.03595023900846854,42.909263012227065,1.6405754467975375,3
linear_least_squares,10,9,"m=1e+00, pde=1e-01, reg=1e-02, bc=1e+03",1.0,0.1,0.01,1000.0,0.18465531160425452,0.005482186992861019,0.6121554954610807,0.03597407401986898,42.90121863708214,1.641073547253398,3
linear_least_squares,10,10,"m=1e+00, pde=1e+00, reg=1e-06, bc=1e+01",1.0,1.0,1e-06,10.0,0.18659686726409433,0.01168217651698999,1.293268250355367,0.14793223786297358,102.898238279841,13.803076648823115,3
linear_least_squares,10,11,"m=1e+00, pde=1e+00, reg=1e-06, bc=1e+02",1.0,1.0,1e-06,100.0,0.1865006188175008,0.01159731267408141,1.296572934541072,0.14986978010458585,103.08369861666041,13.809516168931737,3
linear_least_squares,10,12,"m=1e+00, pde=1e+00, reg=1e-06, bc=1e+03",1.0,1.0,1e-06,1000.0,0.18604515787004564,0.011383088284143094,1.2896042023112997,0.14145014772757294,102.00067726247111,12.916521723737585,3
linear_least_squares,10,13,"m=1e+00, pde=1e+00, reg=1e-04, bc=1e+01",1.0,1.0,0.0001,10.0,0.18334481364405342,0.010839110855852556,1.0615052311253772,0.12783150273869598,79.42115250577882,8.717560104267434,3
linear_least_squares,10,14,"m=1e+00, pde=1e+00, reg=1e-04, bc=1e+02",1.0,1.0,0.0001,100.0,0.1833348966463035,0.010850394067091707,1.061138569378928,0.12797062770895412,79.38143539357846,8.723936135440765,3
linear_least_squares,10,15,"m=1e+00, pde=1e+00, reg=1e-04, bc=1e+03",1.0,1.0,0.0001,1000.0,0.1832687687757482,0.010874423414148682,1.058300292878161,0.12811937747910257,79.19956032290315,8.704902362808694,3
linear_least_squares,10,16,"m=1e+00, pde=1e+00, reg=1e-02, bc=1e+01",1.0,1.0,0.01,10.0,0.18492897217908108,0.005677255327253997,0.6216374395883671,0.03202329302962911,43.21720263064514,1.4511067759819531,3
linear_least_squares,10,17,"m=1e+00, pde=1e+00, reg=1e-02, bc=1e+02",1.0,1.0,0.01,100.0,0.1852161324188597,0.0055624242632483605,0.6213704293976644,0.031696261705435415,43.187949570445085,1.4182516765500939,3
linear_least_squares,10,18,"m=1e+00, pde=1e+00, reg=1e-02, bc=1e+03",1.0,1.0,0.01,1000.0,0.18524522817909883,0.005547842701809478,0.621322528192053,0.031780872469371266,43.179619554501016,1.4219340798115938,3
linear_least_squares,10,19,"m=1e+00, pde=1e+01, reg=1e-06, bc=1e+01",1.0,10.0,1e-06,10.0,0.19053609509086145,0.008432563204892206,1.3396161699340141,0.05631130831308483,105.84400973386714,5.67842392443453,3
linear_least_squares,10,20,"m=1e+00, pde=1e+01, reg=1e-06, bc=1e+02",1.0,10.0,1e-06,100.0,0.1904460690283959,0.008604227553918915,1.3368809461523667,0.05704114397899199,105.60727365912602,5.798208253918294,3
linear_least_squares,10,21,"m=1e+00, pde=1e+01, reg=1e-06, bc=1e+03",1.0,10.0,1e-06,1000.0,0.18989032820856275,0.009167324082536716,1.3346182475640418,0.053491066718408906,105.42273140047804,5.523251020117691,3
linear_least_squares,10,22,"m=1e+00, pde=1e+01, reg=1e-04, bc=1e+01",1.0,10.0,0.0001,10.0,0.18343311660126005,0.013157141710916408,1.1464928462211608,0.1580272342431427,88.66034652366426,13.412749223243244,3
linear_least_squares,10,23,"m=1e+00, pde=1e+01, reg=1e-04, bc=1e+02",1.0,10.0,0.0001,100.0,0.183455178208247,0.013156443652455326,1.1470524937603328,0.15802408081023397,88.73277026377497,13.403408033489688,3
linear_least_squares,10,24,"m=1e+00, pde=1e+01, reg=1e-04, bc=1e+03",1.0,10.0,0.0001,1000.0,0.18344675265722862,0.013155080743263636,1.1461409418859017,0.15878005373006926,88.68928847096471,13.430318279194246,3
linear_least_squares,10,25,"m=1e+00, pde=1e+01, reg=1e-02, bc=1e+01",1.0,10.0,0.01,10.0,0.18827321456728674,0.0058656614379444345,0.7689598151685018,0.027129476236024824,52.36794869155472,2.613840486716498,3
linear_least_squares,10,26,"m=1e+00, pde=1e+01, reg=1e-02, bc=1e+02",1.0,10.0,0.01,100.0,0.188687530016589,0.005684931145925273,0.7758362824802788,0.027313445611601078,52.988504337507415,2.7090218111595696,3
linear_least_squares,10,27,"m=1e+00, pde=1e+01, reg=1e-02, bc=1e+03",1.0,10.0,0.01,1000.0,0.1887300389665142,0.005666883527766215,0.7763835360564109,0.02732181257785178,53.03463411244231,2.709818716411475,3
linear_least_squares,10,28,"m=1e+01, pde=1e-01, reg=1e-06, bc=1e+01",10.0,0.1,1e-06,10.0,0.1832194487264569,0.013296853964905557,1.1451476166800927,0.1593118974044121,88.60319746833888,13.499472759799632,3
linear_least_squares,10,29,"m=1e+01, pde=1e-01, reg=1e-06, bc=1e+02",10.0,0.1,1e-06,100.0,0.18298796611031268,0.01331582877440235,1.1408704358860409,0.16262472474112843,88.22703445383354,13.646532854530712,3
linear_least_squares,10,30,"m=1e+01, pde=1e-01, reg=1e-06, bc=1e+03",10.0,0.1,1e-06,1000.0,0.18246793620493415,0.013464373331151854,1.1232908853183068,0.17019384289307155,86.31445199534966,14.44263288207419,3
linear_least_squares,10,31,"m=1e+01, pde=1e-01, reg=1e-04, bc=1e+01",10.0,0.1,0.0001,10.0,0.17849867589016435,0.009256684602249415,0.7692888449456433,0.03287212800624965,52.62682985940944,3.1152803230375796,3
linear_least_squares,10,32,"m=1e+01, pde=1e-01, reg=1e-04, bc=1e+02",10.0,0.1,0.0001,100.0,0.1785127534870928,0.009252583309182683,0.7693720806757711,0.03280643091941705,52.63991412708881,3.107827619041324,3
linear_least_squares,10,33,"m=1e+01, pde=1e-01, reg=1e-04, bc=1e+03",10.0,0.1,0.0001,1000.0,0.17856498322040756,0.009222583466250912,0.7711646132905936,0.03415270455792475,52.76765361946507,3.1857318216526846,3
linear_least_squares,10,34,"m=1e+01, pde=1e-01, reg=1e-02, bc=1e+01",10.0,0.1,0.01,10.0,0.17657403981983563,0.007877946980093952,0.6136012703776778,0.042957332704037884,42.973030919287716,1.9939275266455507,3
linear_least_squares,10,35,"m=1e+01, pde=1e-01, reg=1e-02, bc=1e+02",10.0,0.1,0.01,100.0,0.17689478093563682,0.0077607404452774255,0.6132921080940498,0.042784392892256586,42.95677830677511,1.9887120843024266,3
linear_least_squares,10,36,"m=1e+01, pde=1e-01, reg=1e-02, bc=1e+03",10.0,0.1,0.01,1000.0,0.17692574969703487,0.007745505273055017,0.6131719047423372,0.04270638758224544,42.948182332759394,1.98525570152452,3
linear_least_squares,10,37,"m=1e+01, pde=1e+00, reg=1e-06, bc=1e+01",10.0,1.0,1e-06,10.0,0.18659695984790972,0.011677535315123447,1.2930655436640042,0.14846298935812693,102.90570640135172,13.825174970789371,3
linear_least_squares,10,38,"m=1e+01, pde=1e+00, reg=1e-06, bc=1e+02",10.0,1.0,1e-06,100.0,0.18650134607222538,0.011610496151825394,1.2960567367840943,0.14941030335025612,103.08682139613548,13.809218744199509,3
linear_least_squares,10,39,"m=1e+01, pde=1e+00, reg=1e-06, bc=1e+03",10.0,1.0,1e-06,1000.0,0.18600473160713418,0.011436988169330371,1.288807328056433,0.1417302567644694,101.94561474155262,12.925977204090897,3
linear_least_squares,10,40,"m=1e+01, pde=1e+00, reg=1e-04, bc=1e+01",10.0,1.0,0.0001,10.0,0.18318151172058073,0.010923550900510394,1.0608758742277438,0.12744384112894164,79.36263010837507,8.680287625620887,3
linear_least_squares,10,41,"m=1e+01, pde=1e+00, reg=1e-04, bc=1e+02",10.0,1.0,0.0001,100.0,0.18316819974024282,0.01093699515903314,1.0603242587537467,0.12759784068842162,79.30508425588528,8.68795827597963,3
linear_least_squares,10,42,"m=1e+01, pde=1e+00, reg=1e-04, bc=1e+03",10.0,1.0,0.0001,1000.0,0.18310253766880627,0.010960360931691882,1.057561856311905,0.1277286522136224,79.13953474639334,8.668386124065274,3
linear_least_squares,10,43,"m=1e+01, pde=1e+00, reg=1e-02, bc=1e+01",10.0,1.0,0.01,10.0,0.17679514064593096,0.00811757569520422,0.6215150680628135,0.038451795543551597,43.198074960117374,1.7516601311122246,3
linear_least_squares,10,44,"m=1e+01, pde=1e+00, reg=1e-02, bc=1e+02",10.0,1.0,0.01,100.0,0.17715094184112576,0.007982727594169533,0.6213619208938087,0.0383336371488104,43.18272198391325,1.7373313089951983,3
linear_least_squares,10,45,"m=1e+01, pde=1e+00, reg=1e-02, bc=1e+03",10.0,1.0,0.01,1000.0,0.1771872204931266,0.007966600273045809,0.6213394663055701,0.038399745306422414,43.17753938055355,1.741488273878254,3
linear_least_squares,10,46,"m=1e+01, pde=1e+01, reg=1e-06, bc=1e+01",10.0,10.0,1e-06,10.0,0.19058398617257044,0.008495928419087202,1.3393136672159913,0.05796783812177461,105.81179959684624,5.789277162016186,3
linear_least_squares,10,47,"m=1e+01, pde=1e+01, reg=1e-06, bc=1e+02",10.0,10.0,1e-06,100.0,0.1905135224369117,0.008574771866013079,1.3368532173102328,0.05840080508357895,105.6147994291335,5.906187162011077,3
linear_least_squares,10,48,"m=1e+01, pde=1e+01, reg=1e-06, bc=1e+03",10.0,10.0,1e-06,1000.0,0.19011115873797865,0.009041654255666647,1.3374785501490856,0.05272411690487612,105.69638655003932,5.452783981822333,3
linear_least_squares,10,49,"m=1e+01, pde=1e+01, reg=1e-04, bc=1e+01",10.0,10.0,0.0001,10.0,0.18323460346030926,0.013288968285817809,1.1462943740266633,0.1580368053598333,88.63737171713642,13.413886419717297,3
linear_least_squares,10,50,"m=1e+01, pde=1e+01, reg=1e-04, bc=1e+02",10.0,10.0,0.0001,100.0,0.18325676996999063,0.013288363637555414,1.1469169386441498,0.15804067867469856,88.71941776567525,13.410519284574324,3
linear_least_squares,10,51,"m=1e+01, pde=1e+01, reg=1e-04, bc=1e+03",10.0,10.0,0.0001,1000.0,0.18324812886880648,0.013287519035505228,1.145948755430491,0.15893786915290786,88.65110918696796,13.467683454114821,3
linear_least_squares,10,52,"m=1e+01, pde=1e+01, reg=1e-02, bc=1e+01",10.0,10.0,0.01,10.0,0.17945112934808793,0.00896609999285002,0.7632226332733518,0.03185632908066918,52.034378880480666,2.926567130118893,3
linear_least_squares,10,53,"m=1e+01, pde=1e+01, reg=1e-02, bc=1e+02",10.0,10.0,0.01,100.0,0.18001594555925318,0.008738081831317858,0.7699075861066379,0.031561863769142835,52.63689663630617,2.981985481773603,3
linear_least_squares,10,54,"m=1e+01, pde=1e+01, reg=1e-02, bc=1e+03",10.0,10.0,0.01,1000.0,0.18007467894456738,0.008716608148879427,0.7705457899271034,0.03165611608560158,52.693730779809776,3.0014971014556546,3
linear_least_squares,10,55,"m=1e+02, pde=1e-01, reg=1e-06, bc=1e+01",100.0,0.1,1e-06,10.0,0.183017376377649,0.013291928805997848,1.1415603689150153,0.16203551658575688,88.28690023398887,13.59350865861408,3
linear_least_squares,10,56,"m=1e+02, pde=1e-01, reg=1e-06, bc=1e+02",100.0,0.1,1e-06,100.0,0.18299555931450343,0.013291016903888769,1.1410918068392661,0.1617269859209105,88.23140673145987,13.535340555721051,3
linear_least_squares,10,57,"m=1e+02, pde=1e-01, reg=1e-06, bc=1e+03",100.0,0.1,1e-06,1000.0,0.18246721715914074,0.013464456004575381,1.1232139603301896,0.1702683112161101,86.3075853808546,14.448655002466039,3
linear_least_squares,10,58,"m=1e+02, pde=1e-01, reg=1e-04, bc=1e+01",100.0,0.1,0.0001,10.0,0.17849100768355,0.009259450951254737,0.7683624720215203,0.033644240906985395,52.564800358644305,3.167993668352432,3
linear_least_squares,10,59,"m=1e+02, pde=1e-01, reg=1e-04, bc=1e+02",100.0,0.1,0.0001,100.0,0.17849765682317176,0.009257724728762047,0.768469806688111,0.03357013408034268,52.5746907877376,3.1624740127190334,3
linear_least_squares,10,60,"m=1e+02, pde=1e-01, reg=1e-04, bc=1e+03",100.0,0.1,0.0001,1000.0,0.17854941006431313,0.00922582080258739,0.7704116997905199,0.035068298843840835,52.71108040882246,3.2574081166984974,3
linear_least_squares,10,61,"m=1e+02, pde=1e-01, reg=1e-02, bc=1e+01",100.0,0.1,0.01,10.0,0.17546411752743926,0.008198878136492138,0.6139333481145984,0.044313218762022835,42.988006815841466,2.0627838741116014,3
linear_least_squares,10,62,"m=1e+02, pde=1e-01, reg=1e-02, bc=1e+02",100.0,0.1,0.01,100.0,0.17578800648961065,0.008081279335602442,0.6136231685933599,0.04414991992040599,42.97025333714482,2.0575356413980406,3
linear_least_squares,10,63,"m=1e+02, pde=1e-01, reg=1e-02, bc=1e+03",100.0,0.1,0.01,1000.0,0.17581843246285023,0.008066921156419358,0.6134810009547843,0.044053622125117785,42.958374532263235,2.0512855322796533,3
linear_least_squares,10,64,"m=1e+02, pde=1e+00, reg=1e-06, bc=1e+01",100.0,1.0,1e-06,10.0,0.18649333698375206,0.01160924593247362,1.2959185063457783,0.14956920323243708,103.0567149306439,13.791093652293645,3
linear_least_squares,10,65,"m=1e+02, pde=1e+00, reg=1e-06, bc=1e+02",100.0,1.0,1e-06,100.0,0.18645420072114502,0.011607769746259766,1.296752659739066,0.14757796528427428,103.13378029632504,13.681555162298848,3
linear_least_squares,10,66,"m=1e+02, pde=1e+00, reg=1e-06, bc=1e+03",100.0,1.0,1e-06,1000.0,0.18600305510384332,0.011387244082181242,1.2874706125148319,0.14140929165858443,101.76286866195125,12.916029628034265,3
linear_least_squares,10,67,"m=1e+02, pde=1e+00, reg=1e-04, bc=1e+01",100.0,1.0,0.0001,10.0,0.18314094553659918,0.010948486128502742,1.0596692502080538,0.1272200345589645,79.24995023953676,8.655388755672357,3
linear_least_squares,10,68,"m=1e+02, pde=1e+00, reg=1e-04, bc=1e+02",100.0,1.0,0.0001,100.0,0.183149330525318,0.010946213393182915,1.0598742596213813,0.12740036994069803,79.27497345713154,8.67195178606355,3
linear_least_squares,10,69,"m=1e+02, pde=1e+00, reg=1e-04, bc=1e+03",100.0,1.0,0.0001,1000.0,0.18308351385635876,0.010969241402990432,1.0570305246536378,0.12757062212414386,79.10244053386077,8.657838297063872,3
linear_least_squares,10,70,"m=1e+02, pde=1e+00, reg=1e-02, bc=1e+01",100.0,1.0,0.01,10.0,0.17560345365500427,0.008469869906144047,0.6216327418785695,0.03979349459475387,43.198504731075495,1.814538286171078,3
linear_least_squares,10,71,"m=1e+02, pde=1e+00, reg=1e-02, bc=1e+02",100.0,1.0,0.01,100.0,0.17596470655734542,0.008334977043736763,0.6214403770581396,0.03964909700696692,43.18452663329506,1.8003503881279963,3
linear_least_squares,10,72,"m=1e+02, pde=1e+00, reg=1e-02, bc=1e+03",100.0,1.0,0.01,1000.0,0.1760029186604173,0.00831814113381061,0.621513188682592,0.03970697646183105,43.187961313292284,1.8056624884404169,3
linear_least_squares,10,73,"m=1e+02, pde=1e+01, reg=1e-06, bc=1e+01",100.0,10.0,1e-06,10.0,0.19050237753325383,0.008611178272416878,1.3373816514281416,0.05857550778886101,105.64722843857322,5.9245449074676015,3
