solver,num_measurements,seed,misfit,pde_err,reg,boundary,rmse,directional_rmse,angular_rmse_deg,config_id,config_label
weak_penalty,10,0,1.0,0.1,0.01,100.0,0.16557245874218163,0.913042468845108,69.6945937574189,8,"m=1e+00, pde=1e-01, reg=1e-02, bc=1e+02"
weak_penalty,10,0,1.0,0.1,0.01,1000.0,0.16557558202747724,0.913075288566432,69.69975870775123,9,"m=1e+00, pde=1e-01, reg=1e-02, bc=1e+03"
weak_penalty,10,0,1.0,1.0,1e-06,10.0,7.739423407161604,1.3927702742467665,101.49115508635481,10,"m=1e+00, pde=1e+00, reg=1e-06, bc=1e+01"
weak_penalty,10,0,1.0,1.0,1e-06,100.0,2.4602754890701672,1.420882988276675,104.82415772918398,11,"m=1e+00, pde=1e+00, reg=1e-06, bc=1e+02"
weak_penalty,10,0,1.0,1.0,1e-06,1000.0,1.438059697544157,1.4080516100627851,103.84004315387837,12,"m=1e+00, pde=1e+00, reg=1e-06, bc=1e+03"
weak_penalty,10,0,1.0,1.0,0.0001,10.0,1.0454095391382179,1.414128482537306,104.17539048464411,13,"m=1e+00, pde=1e+00, reg=1e-04, bc=1e+01"
weak_penalty,10,0,1.0,1.0,0.0001,100.0,10.265807481457639,1.4379980196585134,106.10050523590758,14,"m=1e+00, pde=1e+00, reg=1e-04, bc=1e+02"
weak_penalty,10,0,1.0,1.0,0.0001,1000.0,1.553988190441175,1.405017429456199,103.38385215638037,15,"m=1e+00, pde=1e+00, reg=1e-04, bc=1e+03"
weak_penalty,10,0,1.0,1.0,0.01,10.0,0.20016458012473246,1.069067169192614,77.74254854153381,16,"m=1e+00, pde=1e+00, reg=1e-02, bc=1e+01"
weak_penalty,10,0,1.0,1.0,0.01,100.0,0.2108643839724501,1.355293672289673,108.20520480433709,17,"m=1e+00, pde=1e+00, reg=1e-02, bc=1e+02"
weak_penalty,10,0,1.0,1.0,0.01,1000.0,0.1811761706951506,1.353523607751663,108.79474817813704,18,"m=1e+00, pde=1e+00, reg=1e-02, bc=1e+03"
weak_penalty,10,0,1.0,10.0,1e-06,10.0,2.374717688001388,1.482576477698161,110.29765174089871,19,"m=1e+00, pde=1e+01, reg=1e-06, bc=1e+01"
weak_penalty,10,0,1.0,10.0,1e-06,100.0,1.1622019922047802,1.4283985315282985,106.11967774218154,20,"m=1e+00, pde=1e+01, reg=1e-06, bc=1e+02"
weak_penalty,10,0,1.0,10.0,1e-06,1000.0,0.3917446739034917,1.389626223380909,101.79923559512864,21,"m=1e+00, pde=1e+01, reg=1e-06, bc=1e+03"
weak_penalty,10,0,1.0,10.0,0.0001,10.0,0.7010273901311953,1.3683064932944744,99.7590995718785,22,"m=1e+00, pde=1e+01, reg=1e-04, bc=1e+01"
weak_penalty,10,0,1.0,10.0,0.0001,100.0,1.030934073123213,1.4080731100500996,103.70162306571679,23,"m=1e+00, pde=1e+01, reg=1e-04, bc=1e+02"
