solver,num_measurements,config_id,config_label,misfit,pde_err,reg,boundary,mean_relative_l2_error,std_relative_l2_error,count
linear_least_squares,10,34,"m=1e+01, pde=1e-01, reg=1e-02, bc=1e+01",10.0,0.1,0.01,10.0,0.9272954058791093,0.04923313619085334,3
linear_least_squares,10,35,"m=1e+01, pde=1e-01, reg=1e-02, bc=1e+02",10.0,0.1,0.01,100.0,0.9305988642545976,0.04629131353084898,3
linear_least_squares,10,36,"m=1e+01, pde=1e-01, reg=1e-02, bc=1e+03",10.0,0.1,0.01,1000.0,0.9312217540376669,0.045669943898005855,3
linear_least_squares,10,37,"m=1e+01, pde=1e+00, reg=1e-06, bc=1e+01",10.0,1.0,1e-06,10.0,0.8889144944286181,0.04267891621283695,3
linear_least_squares,10,38,"m=1e+01, pde=1e+00, reg=1e-06, bc=1e+02",10.0,1.0,1e-06,100.0,0.9298554895445043,0.021151086749901994,3
linear_least_squares,10,39,"m=1e+01, pde=1e+00, reg=1e-06, bc=1e+03",10.0,1.0,1e-06,1000.0,0.9591472234052963,0.032687162115829074,3
linear_least_squares,10,40,"m=1e+01, pde=1e+00, reg=1e-04, bc=1e+01",10.0,1.0,0.0001,10.0,0.9190654254006722,0.04769036583515569,3
linear_least_squares,10,41,"m=1e+01, pde=1e+00, reg=1e-04, bc=1e+02",10.0,1.0,0.0001,100.0,0.921885280852316,0.04454576923422734,3
linear_least_squares,10,42,"m=1e+01, pde=1e+00, reg=1e-04, bc=1e+03",10.0,1.0,0.0001,1000.0,0.9242083532651338,0.04359382981533685,3
linear_least_squares,10,43,"m=1e+01, pde=1e+00, reg=1e-02, bc=1e+01",10.0,1.0,0.01,10.0,0.9261000340094819,0.04913292473687582,3
linear_least_squares,10,44,"m=1e+01, pde=1e+00, reg=1e-02, bc=1e+02",10.0,1.0,0.01,100.0,0.9294965803555506,0.046114350269261334,3
linear_least_squares,10,45,"m=1e+01, pde=1e+00, reg=1e-02, bc=1e+03",10.0,1.0,0.01,1000.0,0.9301261626713417,0.045449892882583304,3
linear_least_squares,10,46,"m=1e+01, pde=1e+01, reg=1e-06, bc=1e+01",10.0,10.0,1e-06,10.0,0.9207769290879749,0.05725863295755028,3
linear_least_squares,10,47,"m=1e+01, pde=1e+01, reg=1e-06, bc=1e+02",10.0,10.0,1e-06,100.0,0.9328193482510461,0.04567887510788772,3
linear_least_squares,10,48,"m=1e+01, pde=1e+01, reg=1e-06, bc=1e+03",10.0,10.0,1e-06,1000.0,0.9348135480168261,0.016922376918196615,3
linear_least_squares,10,49,"m=1e+01, pde=1e+01, reg=1e-04, bc=1e+01",10.0,10.0,0.0001,10.0,0.9002329441568709,0.058049426741720124,3
linear_least_squares,10,50,"m=1e+01, pde=1e+01, reg=1e-04, bc=1e+02",10.0,10.0,0.0001,100.0,0.9024491473018438,0.05518382770674378,3
linear_least_squares,10,51,"m=1e+01, pde=1e+01, reg=1e-04, bc=1e+03",10.0,10.0,0.0001,1000.0,0.9035618722433197,0.05488289845372655,3
linear_least_squares,10,52,"m=1e+01, pde=1e+01, reg=1e-02, bc=1e+01",10.0,10.0,0.01,10.0,0.9241534385436605,0.04702894752334666,3
linear_least_squares,10,53,"m=1e+01, pde=1e+01, reg=1e-02, bc=1e+02",10.0,10.0,0.01,100.0,0.927992712561256,0.043699064831000355,3
linear_least_squares,10,54,"m=1e+01, pde=1e+01, reg=1e-02, bc=1e+03",10.0,10.0,0.01,1000.0,0.9286686362784567,0.04303600888846362,3
linear_least_squares,10,55,"m=1e+02, pde=1e-01, reg=1e-06, bc=1e+01",100.0,0.1,1e-06,10.0,0.959324993219075,0.030348310127304757,3
linear_least_squares,10,56,"m=1e+02, pde=1e-01, reg=1e-06, bc=1e+02",100.0,0.1,1e-06,100.0,0.9729288172099949,0.039946143746821074,3
linear_least_squares,10,57,"m=1e+02, pde=1e-01, reg=1e-06, bc=1e+03",100.0,0.1,1e-06,1000.0,0.9727624380954684,0.04138366092692533,3
linear_least_squares,10,58,"m=1e+02, pde=1e-01, reg=1e-04, bc=1e+01",100.0,0.1,0.0001,10.0,0.9183515891598528,0.05160521948652633,3
linear_least_squares,10,59,"m=1e+02, pde=1e-01, reg=1e-04, bc=1e+02",100.0,0.1,0.0001,100.0,0.9226412645631976,0.048865927587166416,3
linear_least_squares,10,60,"m=1e+02, pde=1e-01, reg=1e-04, bc=1e+03",100.0,0.1,0.0001,1000.0,0.9338486859464018,0.04647687728422005,3
linear_least_squares,10,61,"m=1e+02, pde=1e-01, reg=1e-02, bc=1e+01",100.0,0.1,0.01,10.0,0.922008782563176,0.05282970241920777,3
linear_least_squares,10,62,"m=1e+02, pde=1e-01, reg=1e-02, bc=1e+02",100.0,0.1,0.01,100.0,0.925130034050162,0.050254933890772596,3
linear_least_squares,10,63,"m=1e+02, pde=1e-01, reg=1e-02, bc=1e+03",100.0,0.1,0.01,1000.0,0.9279380069038496,0.04740759231153542,3
linear_least_squares,10,64,"m=1e+02, pde=1e+00, reg=1e-06, bc=1e+01",100.0,1.0,1e-06,10.0,0.9254213751522257,0.023408507183908744,3
linear_least_squares,10,65,"m=1e+02, pde=1e+00, reg=1e-06, bc=1e+02",100.0,1.0,1e-06,100.0,0.950177026104873,0.027296681808820503,3
linear_least_squares,10,66,"m=1e+02, pde=1e+00, reg=1e-06, bc=1e+03",100.0,1.0,1e-06,1000.0,0.9690022060349698,0.040796178138056104,3
linear_least_squares,10,67,"m=1e+02, pde=1e+00, reg=1e-04, bc=1e+01",100.0,1.0,0.0001,10.0,0.9169585092235217,0.05011647447443511,3
linear_least_squares,10,68,"m=1e+02, pde=1e+00, reg=1e-04, bc=1e+02",100.0,1.0,0.0001,100.0,0.9205511668540497,0.0472667678117813,3
linear_least_squares,10,69,"m=1e+02, pde=1e+00, reg=1e-04, bc=1e+03",100.0,1.0,0.0001,1000.0,0.9355891819860952,0.03584760756621015,3
linear_least_squares,10,70,"m=1e+02, pde=1e+00, reg=1e-02, bc=1e+01",100.0,1.0,0.01,10.0,0.9204564470146046,0.05294458022890981,3
linear_least_squares,10,71,"m=1e+02, pde=1e+00, reg=1e-02, bc=1e+02",100.0,1.0,0.01,100.0,0.92373491495717,0.0502079130401985,3
linear_least_squares,10,72,"m=1e+02, pde=1e+00, reg=1e-02, bc=1e+03",100.0,1.0,0.01,1000.0,0.9264895689548526,0.04734878784253726,3
